0.6312537715541235,0.005478292864713579-0.003827355766278888*I,-0.005662089793864793-0.005369801608155347*I,0.018662196382707098-0.04544971254486221*I,-0.01464657563325882-0.006079611533724427*I,-0.004808902177660872+0.27584514477378175*I,-0.0007122432638519106+0.0053016685672540465*I,-0.015049978290136845+0.011692875028679228*I,0.006800944714600569+0.003000631007906096*I,0.0023732632740821793+0.0002742029255575134*I,0.0046912022515849215-0.278557595203498*I,-0.018420320762774993+0.01214738317698303*I,0.012458692294000645-0.019822178222986958*I,0.002497829135849858+0.03952438745652591*I,0.003504588433921728+0.0006440482150782504*I,0.12134140708458656-0.006385579827798256*I
0.005478292864713579+0.0038273557662788886*I,0.010485033078989084,-0.00526187770412856+0.0012369044749345004*I,0.00114680442139659+0.0027534906442861166*I,-0.0013648748237329745+0.0040820090877033725*I,-0.0032033893406195352-0.003971371458999737*I,-0.00045739077545014573-0.0017371696869299936*I,0.0013760625098044195-0.0029419799925081156*I,0.002479181094399507+0.0012003978659389494*I,0.0018706499883308048+0.0006229076793516492*I,-0.0002017553641282554-0.00010674573995974666*I,-0.0008343353585223173+0.0033052385597504607*I,-0.0033951699445291137+0.002757954715977103*I,0.0012780841603209014+0.002976773478368935*I,-0.0005650073604617186+0.0006720124045640173*I,0.001801113598795887-0.0006829072191179607*I
-0.005662089793864794+0.005369801608155348*I,-0.00526187770412856-0.0012369044749345006*I,0.0055431350054377495,0.0029001536635234284-0.0019055231535831663*I,0.0040562536975905766-0.0017414560221427715*I,-0.0017088183131912793+0.0013723933071508587*I,-0.0005977112413261508+0.0019917484349525846*I,-0.0017854759038321562+0.0018418469893566592*I,-0.002228435525588556-0.0014233374599434425*I,-0.0007798497321729099-0.0016679635788861941*I,0.002486059140327509+0.0015484424553833336*I,0.0010649669113282063-0.0017852984991510712*I,0.002782014005405575+0.0008456530403912042*I,-0.0036852953959856188-0.0010826092792944656*I,-0.002042476550123284-0.00256783873083776*I,-0.001690734853214914-0.0019310892857527806*I
0.018662196382707098+0.04544971254486221*I,0.00114680442139659-0.002753490644286116*I,0.002900153663523429+0.0019055231535831667*I,0.008488665278481144,0.003328068835144827+0.0022343668387681645*I,-0.021474542859820485+0.008614426267565667*I,-0.000825004475615555-0.00007650523351394292*I,-0.004086484634030085-0.0005112642371135159*I,0.0020535087703823047-0.003123055323788091*I,0.00014427504472040026+0.00008863141490322358*I,0.01985414244182881-0.007851040805814563*I,-0.0003382194508966021-0.0006908323717834593*I,0.00306420869447508+0.005239811383124069*I,-0.003579559843415794+0.0024937357970258576*I,-0.0024240905330239018-0.0024253912130934785*I,0.004120041600836132+0.003979745452159393*I
-0.014646575633258819+0.006079611533724427*I,-0.0013648748237329743-0.004082009087703372*I,0.0040562536975905766+0.0017414560221427715*I,0.0033280688351448266-0.0022343668387681645*I,0.008728515538685751,-0.004035827016772287-0.004646046694645739*I,-0.004031047721776515-0.00008793508304994922*I,-0.00045941914344699514+0.002383295329502384*I,-0.00702390027150375-0.005519841995544937*I,0.00350855212473929-0.0014242736928152765*I,0.0020032440874907763+0.006741725599923435*I,0.0014784411157093753-0.00020277188626657684*I,0.005949525328788105+0.0007872678496059194*I,0.000020353173572154343-0.004725174735560587*I,-0.0014532504864939926-5.652306317689021*^-6*I,-0.004808497549933372-0.0008622982756007411*I
-0.004808902177660872-0.27584514477378175*I,-0.0032033893406195352+0.003971371458999736*I,-0.0017088183131912793-0.0013723933071508587*I,-0.021474542859820485-0.008614426267565669*I,-0.004035827016772287+0.004646046694645741*I,0.12490828102694713,0.0034114235014932976+0.0005488115750527745*I,0.006833115680757217+0.008304398810051402*I,-0.0004065921775295541-0.0018431675878058135*I,-0.000557516259377639-0.00024635578880351835*I,-0.12318563063070018-0.0012569900854126678*I,0.003573283811626215+0.007095733165107808*I,-0.009347741700498466-0.007724466126362072*I,0.01502827251071344-0.00029005178338681456*I,-0.001053143585257899-0.002001178277808466*I,-0.0037686914032672345-0.05313720556219726*I
-0.0007122432638519106-0.0053016685672540465*I,-0.00045739077545014595+0.0017371696869299936*I,-0.0005977112413261507-0.001991748434952584*I,-0.000825004475615555+0.00007650523351394292*I,-0.004031047721776515+0.00008793508304994965*I,0.0034114235014932968-0.0005488115750527743*I,0.0038471135365486433,-0.0009003639445164692-0.0005927653316651246*I,0.005945335227281743+0.0015196506876204708*I,-0.0037253747790788553+0.0015067202411688679*I,-0.0018675304579267723+0.0003230860349423372*I,-0.0001744452406422113-0.0007490732861490962*I,-0.0019157909842517104+0.0021027912989279515*I,0.0004621336572788505+0.005314456487847157*I,-0.0021608860940987955+0.00020422585663853218*I,-0.0014455192866870878-0.0016826113379031777*I
-0.015049978290136842-0.01169287502867923*I,0.0013760625098044198+0.0029419799925081156*I,-0.0017854759038321562-0.0018418469893566592*I,-0.004086484634030085+0.0005112642371135161*I,-0.00045941914344699536-0.0023832953295023843*I,0.006833115680757215-0.008304398810051402*I,-0.0009003639445164692+0.0005927653316651247*I,0.003808195721930788,-0.004347184183827378+0.003271299206313177*I,0.0012698560284632949-0.001124247660487935*I,-0.006354141697766541+0.006953221000840161*I,-0.000377335870491695+0.000737507178836537*I,-0.0018586721403937379-0.003968813365984831*I,-0.00044268659486598944-0.002354889794376214*I,0.0010578101451439194+0.0012159250106479876*I,-0.002897483648225683-0.00007570293255492258*I
0.00680094471460057-0.0030006310079060965*I,0.002479181094399506-0.0012003978659389496*I,-0.002228435525588556+0.001423337459943442*I,0.0020535087703823047+0.003123055323788091*I,-0.00702390027150375+0.005519841995544937*I,-0.0004065921775295539+0.001843167587805814*I,0.005945335227281742-0.0015196506876204708*I,-0.004347184183827378-0.003271299206313177*I,0.01484412562480155,-0.005565351441372554+0.0033223118631720136*I,0.0002602674251277016-0.002631607407350887*I,0.00041706681793585013-0.00008826595106082197*I,-0.004394779169305709+0.008134224530513677*I,0.0021938199316634457+0.008942111665643874*I,-0.0022279389849239363-0.0014048516943502747*I,0.0018043081316010314-0.003151735128456036*I
0.0023732632740821793-0.0002742029255575134*I,0.0018706499883308055-0.0006229076793516487*I,-0.00077984973217291+0.0016679635788861941*I,0.00014427504472040026-0.00008863141490322369*I,0.0035085521247392904+0.0014242736928152765*I,-0.000557516259377639+0.00024635578880351824*I,-0.0037253747790788553-0.001506720241168868*I,0.0012698560284632946+0.0011242476604879355*I,-0.005565351441372554-0.0033223118631720136*I,0.0044400899752865455,-0.0009458160177670749-0.0012202176915963765*I,-0.000470408256714585+0.0012521431376696346*I,0.0021596319841539644-0.002007050798072856*I,0.001785260305730685-0.004985363041954173*I,0.0021460911820446664+0.0007609196184059589*I,0.0014604002114514836+0.0011656896770022602*I
