tW,xx,xy,xz,xi,yx,yy,yz,yi,zx,zy,zz,zi,ix,iy,iz,ii
t,xx,xy,xz,xi,yx,yy,yz,yi,zx,zy,zz,zi,ix,iy,iz,ii
590.0,0.0,-0.00953239632426,0.0,0.0,0.00953239632426,0.0,0.0,0.0,0.0,0.0,0.505069620578,0.666473804242,0.0,0.0,0.838595816337,1.0
591.0,0.0,-0.0144827594545,0.0,0.0,0.0144827594545,0.0,0.0,0.0,0.0,0.0,0.506260611918,0.668011565212,0.0,0.0,0.838249046706,1.0
592.0,0.0,-0.0193404422212,0.0,0.0,0.0193404422212,0.0,0.0,0.0,0.0,0.0,0.507448492666,0.669832824068,0.0,0.0,0.837615668598,1.0
593.0,0.0,-0.0240895096407,0.0,0.0,0.0240895096407,0.0,0.0,0.0,0.0,0.0,0.508633191855,0.671930971021,0.0,0.0,0.836702220834,1.0
594.0,0.0,-0.0287145317925,0.0,0.0,0.0287145317925,0.0,0.0,0.0,0.0,0.0,0.50981464064,0.674298493969,0.0,0.0,0.835516146671,1.0
595.0,0.0,-0.0332006327116,0.0,0.0,0.0332006327116,0.0,0.0,0.0,0.0,0.0,0.510992772535,0.676927011795,0.0,0.0,0.83406576074,1.0
596.0,0.0,-0.0375335369706,0.0,0.0,0.0375335369706,0.0,0.0,0.0,0.0,0.0,0.512167523653,0.679807310374,0.0,0.0,0.832360213279,1.0
597.0,0.0,-0.0416996138135,0.0,0.0,0.0416996138135,0.0,0.0,0.0,0.0,0.0,0.513338832915,0.682929381143,0.0,0.0,0.830409451773,1.0
598.0,0.0,-0.0456859187069,0.0,0.0,0.0456859187069,0.0,0.0,0.0,0.0,0.0,0.514506642272,0.686282462095,0.0,0.0,0.828224180177,1.0
599.0,0.0,-0.0494802321896,0.0,0.0,0.0494802321896,0.0,0.0,0.0,0.0,0.0,0.515670896889,0.689855081015,0.0,0.0,0.825815815874,1.0
600.0,0.0,-0.0530710959064,0.0,0.0,0.0530710959064,0.0,0.0,0.0,0.0,0.0,0.516831545338,0.693635100811,0.0,0.0,0.823196444527,1.0
601.0,0.0,-0.0564478457291,0.0,0.0,0.0564478457291,0.0,0.0,0.0,0.0,0.0,0.517988539764,0.697609766744,0.0,0.0,0.82037877302,1.0
602.0,0.0,-0.0596006418707,0.0,0.0,0.0596006418707,0.0,0.0,0.0,0.0,0.0,0.519141836043,0.701765755409,0.0,0.0,0.817376080633,1.0
603.0,0.0,-0.062520495918,0.0,0.0,0.062520495918,0.0,0.0,0.0,0.0,0.0,0.520291393925,0.706089225253,0.0,0.0,0.814202168672,1.0
604.0,0.0,-0.065199294712,0.0,0.0,0.065199294712,0.0,0.0,0.0,0.0,0.0,0.521437177163,0.710565868463,0.0,0.0,0.8108713087,1.0
605.0,0.0,-0.0676298210218,0.0,0.0,0.0676298210218,0.0,0.0,0.0,0.0,0.0,0.522579153624,0.715180964032,0.0,0.0,0.807398189593,1.0
606.0,0.0,-0.0698057709669,0.0,0.0,0.0698057709669,0.0,0.0,0.0,0.0,0.0,0.523717295389,0.719919431799,0.0,0.0,0.80379786359,1.0
607.0,0.0,-0.0717217681546,0.0,0.0,0.0717217681546,0.0,0.0,0.0,0.0,0.0,0.524851578835,0.724765887292,0.0,0.0,0.800085691543,1.0
608.0,0.0,-0.0733733745109,0.0,0.0,0.0733733745109,0.0,0.0,0.0,0.0,0.0,0.525981984701,0.729704697148,0.0,0.0,0.796277287553,1.0
609.0,0.0,-0.0747570977961,0.0,0.0,0.0747570977961,0.0,0.0,0.0,0.0,0.0,0.527108498145,0.734720034945,0.0,0.0,0.7923884632,1.0
610.0,0.0,-0.0758703958046,0.0,0.0,0.0758703958046,0.0,0.0,0.0,0.0,0.0,0.528231108772,0.739795937229,0.0,0.0,0.788435171543,1.0
